X_XOX_O_O W: 58392, L: 28326, T: 13291
OXO____X_ W: 58392, L: 28326, T: 13291
OXO_OX_X_ W: 58392, L: 28326, T: 13291
OXOOOXXX_ W: 58392, L: 28326, T: 13291
__O__XXO_ W: 58392, L: 28326, T: 13291
O_O__XXOX W: 58392, L: 28326, T: 13291
_OO___X_X W: 58392, L: 28326, T: 13291
XOO__OX_X W: 58392, L: 28326, T: 13291
_OX_OOXX_ W: 58392, L: 28326, T: 13291
__O_____X W: 58392, L: 28326, T: 13291
__O__X_OX W: 58392, L: 28326, T: 13291
X_O__XOOX W: 58392, L: 28326, T: 13291
_XO_X__O_ W: 58392, L: 28326, T: 13291
OXOXXO_OX W: 58392, L: 28326, T: 13291
X__OXXO_O W: 58392, L: 28326, T: 13291
XXOOXXO_O W: 58392, L: 28326, T: 13291
OO_XX____ W: 58392, L: 28326, T: 13291
OOXXX__O_ W: 58392, L: 28326, T: 13291
OOXXX_OOX W: 58392, L: 28326, T: 13291
XOXO_____ W: 58392, L: 28326, T: 13291
XOXO_OXOX W: 58392, L: 28326, T: 13291
O___X_O_X W: 58392, L: 28326, T: 13291
OO_XX_O_X W: 58392, L: 28326, T: 13291
O_O_OX_XX W: 58392, L: 28326, T: 13291
_X_O_O_X_ W: 58392, L: 28326, T: 13291
OX_O_O_XX W: 58392, L: 28326, T: 13291
_X___OOX_ W: 58392, L: 28326, T: 13291
O____X_OX W: 58392, L: 28326, T: 13291
OX___XOOX W: 58392, L: 28326, T: 13291
O_X_X_O__ W: 58392, L: 28326, T: 13291
OOXXX_O__ W: 58392, L: 28326, T: 13291
_XOO_XX_O W: 58392, L: 28326, T: 13291
O_X____OX W: 58392, L: 28326, T: 13291
O_XXO__OX W: 58392, L: 28326, T: 13291
O_XXOOXOX W: 58392, L: 28326, T: 13291
___OOX__X W: 58392, L: 28326, T: 13291
_O_OOX_XX W: 58392, L: 28326, T: 13291
XO_OOXOXX W: 58392, L: 28326, T: 13291
__X__OOX_ W: 58392, L: 28326, T: 13291
_XX_OOOX_ W: 58392, L: 28326, T: 13291
OXXXOOOX_ W: 58392, L: 28326, T: 13291
XX____O_O W: 58392, L: 28326, T: 13291
X_O_OXXO_ W: 58392, L: 28326, T: 13291
XXO_OXXOO W: 58392, L: 28326, T: 13291
_OOXX____ W: 58392, L: 28326, T: 13291
__X_O____ W: 58392, L: 28326, T: 13291
__X_OOX__ W: 58392, L: 28326, T: 13291
__XXOOXO_ W: 58392, L: 28326, T: 13291
_XXXOOXOO W: 58392, L: 28326, T: 13291
___O_OX_X W: 58392, L: 28326, T: 13291
O_XO_OX_X W: 58392, L: 28326, T: 13291
__X_O_O_X W: 58392, L: 28326, T: 13291
X_X_OOO_X W: 58392, L: 28326, T: 13291
XOX_OOOXX W: 58392, L: 28326, T: 13291
_O_OX_X__ W: 58392, L: 28326, T: 13291
XO_OX_X_O W: 58392, L: 28326, T: 13291
___XO_OX_ W: 58392, L: 28326, T: 13291
XO_XO_OX_ W: 58392, L: 28326, T: 13291
XO__O__X_ W: 58392, L: 28326, T: 13291
XO_XOO_X_ W: 58392, L: 28326, T: 13291
XOXXOOOX_ W: 58392, L: 28326, T: 13291
X_X__O_O_ W: 58392, L: 28326, T: 13291
X_X__OOOX W: 58392, L: 28326, T: 13291
XO_O____X W: 58392, L: 28326, T: 13291
OO__X___X W: 58392, L: 28326, T: 13291
OO_XX__OX W: 58392, L: 28326, T: 13291
OOXXXO_OX W: 58392, L: 28326, T: 13291
O_XX___O_ W: 58392, L: 28326, T: 13291
OXXX___OO W: 58392, L: 28326, T: 13291
OXXX_OXOO W: 58392, L: 28326, T: 13291
_O___X_OX W: 58392, L: 28326, T: 13291
_OXX___O_ W: 58392, L: 28326, T: 13291
_X__O_XO_ W: 58392, L: 28326, T: 13291
XX__OOXO_ W: 58392, L: 28326, T: 13291
O_____XXO W: 58392, L: 28326, T: 13291
OO___XXXO W: 58392, L: 28326, T: 13291
OO_OXXXXO W: 58392, L: 28326, T: 13291
____OX_XO W: 58392, L: 28326, T: 13291
X__OOX_XO W: 58392, L: 28326, T: 13291
X_OOOXXXO W: 58392, L: 28326, T: 13291
X___O__OX W: 58392, L: 28326, T: 13291
X_XOO__OX W: 58392, L: 28326, T: 13291
O_O__XX__ W: 58392, L: 28326, T: 13291
O_OX_XX_O W: 58392, L: 28326, T: 13291
X_O__X_O_ W: 58392, L: 28326, T: 13291
XXO__X_OO W: 58392, L: 28326, T: 13291
XXOXOX_OO W: 58392, L: 28326, T: 13291
X_X___O_O W: 58392, L: 28326, T: 13291
__XO_____ W: 58392, L: 28326, T: 13291
__XO_XO__ W: 58392, L: 28326, T: 13291
_OX__XO__ W: 58392, L: 28326, T: 13291
OOXX_XO__ W: 58392, L: 28326, T: 13291
O___OX_X_ W: 58392, L: 28326, T: 13291
O_OXOX_X_ W: 58392, L: 28326, T: 13291
XO___X__O W: 58392, L: 28326, T: 13291
XO_X_XO_O W: 58392, L: 28326, T: 13291
O__O__X_X W: 58392, L: 28326, T: 13291
O__O_XXOX W: 58392, L: 28326, T: 13291
_XOO__X__ W: 58392, L: 28326, T: 13291
_XOOOXX__ W: 58392, L: 28326, T: 13291
_XOOOXXXO W: 58392, L: 28326, T: 13291
_OX___O_X W: 58392, L: 28326, T: 13291
OOX___OXX W: 58392, L: 28326, T: 13291
OX_O_OX_X W: 58392, L: 28326, T: 13291
OX_OXOXOX W: 58392, L: 28326, T: 13291
__O__X_XO W: 58392, L: 28326, T: 13291
__OXOX_XO W: 58392, L: 28326, T: 13291
O_X__X_O_ W: 58392, L: 28326, T: 13291
___O__OXX W: 58392, L: 28326, T: 13291
___OOXOXX W: 58392, L: 28326, T: 13291
_O_XX___O W: 58392, L: 28326, T: 13291
XOOXX___O W: 58392, L: 28326, T: 13291
_OX__OX__ W: 58392, L: 28326, T: 13291
_OXO_OX_X W: 58392, L: 28326, T: 13291
X_X_O_O__ W: 58392, L: 28326, T: 13291
X_X_O_OXO W: 58392, L: 28326, T: 13291
X_XXOOOXO W: 58392, L: 28326, T: 13291
O__O_X_X_ W: 58392, L: 28326, T: 13291
O__OOX_XX W: 58392, L: 28326, T: 13291
__O__OXX_ W: 58392, L: 28326, T: 13291
__O___XXO W: 58392, L: 28326, T: 13291
__O_OXXXO W: 58392, L: 28326, T: 13291
XOX_O_O_X W: 58392, L: 28326, T: 13291
XO__X__O_ W: 58392, L: 28326, T: 13291
OXO__XOX_ W: 58392, L: 28326, T: 13291
X_____O__ W: 58392, L: 28326, T: 13291
XO____O_X W: 58392, L: 28326, T: 13291
XOOX__O_X W: 58392, L: 28326, T: 13291
_OXX_XOO_ W: 58392, L: 28326, T: 13291
__OX_O_X_ W: 58392, L: 28326, T: 13291
O___XXO__ W: 58392, L: 28326, T: 13291
OX__XXOO_ W: 58392, L: 28326, T: 13291
_OO_XX___ W: 58392, L: 28326, T: 13291
XOO_XXO__ W: 58392, L: 28326, T: 13291
X_OO____X W: 58392, L: 28326, T: 13291
X_OO_X_OX W: 58392, L: 28326, T: 13291
_XOX____O W: 58392, L: 28326, T: 13291
_XOXX__OO W: 58392, L: 28326, T: 13291
OXOXX_XOO W: 58392, L: 28326, T: 13291
X_O_O___X W: 58392, L: 28326, T: 13291
X_O_OX_OX W: 58392, L: 28326, T: 13291
OXX__XOO_ W: 58392, L: 28326, T: 13291
X_X___OO_ W: 58392, L: 28326, T: 13291
__OXX___O W: 58392, L: 28326, T: 13291
___OXO__X W: 58392, L: 28326, T: 13291
OX_OXO__X W: 58392, L: 28326, T: 13291
OXOOXOX_X W: 58392, L: 28326, T: 13291
_OOX____X W: 58392, L: 28326, T: 13291
XOXO_O_X_ W: 58392, L: 28326, T: 13291
XOXO_OXXO W: 58392, L: 28326, T: 13291
X__X__OO_ W: 58392, L: 28326, T: 13291
XO_X__OOX W: 58392, L: 28326, T: 13291
__XOO___X W: 58392, L: 28326, T: 13291
_O__XO_X_ W: 58392, L: 28326, T: 13291
_OXOXO_X_ W: 58392, L: 28326, T: 13291
XOXOXO_XO W: 58392, L: 28326, T: 13291
_OO___XX_ W: 58392, L: 28326, T: 13291
_OOOX_XX_ W: 58392, L: 28326, T: 13291
_O_XXO___ W: 58392, L: 28326, T: 13291
OOXXXO___ W: 58392, L: 28326, T: 13291
_OX_X__O_ W: 58392, L: 28326, T: 13291
_OX_XXOO_ W: 58392, L: 28326, T: 13291
_O____OXX W: 58392, L: 28326, T: 13291
XOO___OXX W: 58392, L: 28326, T: 13291
OXX_____O W: 58392, L: 28326, T: 13291
OXXO_X__O W: 58392, L: 28326, T: 13291
OX____O_X W: 58392, L: 28326, T: 13291
OXO___OXX W: 58392, L: 28326, T: 13291
__XO_X_O_ W: 58392, L: 28326, T: 13291
X_XOOX_O_ W: 58392, L: 28326, T: 13291
OO_X___X_ W: 58392, L: 28326, T: 13291
OOXX__OX_ W: 58392, L: 28326, T: 13291
OOXXOXOX_ W: 58392, L: 28326, T: 13291
XXOO_X_O_ W: 58392, L: 28326, T: 13291
XXOOXXOO_ W: 58392, L: 28326, T: 13291
_O__OX_X_ W: 58392, L: 28326, T: 13291
OO_XOX_X_ W: 58392, L: 28326, T: 13291
X__X_OO__ W: 58392, L: 28326, T: 13291
X_OX_OOX_ W: 58392, L: 28326, T: 13291
_XX____OO W: 58392, L: 28326, T: 13291
_X_XO_O__ W: 58392, L: 28326, T: 13291
OX____X_O W: 58392, L: 28326, T: 13291
OXOX__X_O W: 58392, L: 28326, T: 13291
OXO___X__ W: 58392, L: 28326, T: 13291
OXO_O_X_X W: 58392, L: 28326, T: 13291
___X_OOX_ W: 58392, L: 28326, T: 13291
_O_X_OOXX W: 58392, L: 28326, T: 13291
X_X__OOXO W: 58392, L: 28326, T: 13291
X_XOXOOXO W: 58392, L: 28326, T: 13291
__OO__X_X W: 58392, L: 28326, T: 13291
X_OO_OX_X W: 58392, L: 28326, T: 13291
XXOO_OXOX W: 58392, L: 28326, T: 13291
OO___XX__ W: 58392, L: 28326, T: 13291
OOX__XX_O W: 58392, L: 28326, T: 13291
___XO__OX W: 58392, L: 28326, T: 13291
X_OXO__OX W: 58392, L: 28326, T: 13291
O__XO__X_ W: 58392, L: 28326, T: 13291
O__XO_OXX W: 58392, L: 28326, T: 13291
X__XO__O_ W: 58392, L: 28326, T: 13291
X_XXOO_O_ W: 58392, L: 28326, T: 13291
__OXO___X W: 58392, L: 28326, T: 13291
__OXOX_OX W: 58392, L: 28326, T: 13291
__OX_X__O W: 58392, L: 28326, T: 13291
__OX_XOXO W: 58392, L: 28326, T: 13291
__OX_O__X W: 58392, L: 28326, T: 13291
X_OXOO__X W: 58392, L: 28326, T: 13291
____O___X W: 58392, L: 28326, T: 13291
__X_OO__X W: 58392, L: 28326, T: 13291
O_X_OOX_X W: 58392, L: 28326, T: 13291
OXX_OOXOX W: 58392, L: 28326, T: 13291
__X_O_OX_ W: 58392, L: 28326, T: 13291
OX_______ W: 58392, L: 28326, T: 13291
OXX___O__ W: 58392, L: 28326, T: 13291
OXX_O_O_X W: 58392, L: 28326, T: 13291
X_O___XO_ W: 58392, L: 28326, T: 13291
__O__OX_X W: 58392, L: 28326, T: 13291
__O_XOXOX W: 58392, L: 28326, T: 13291
_X_X__O_O W: 58392, L: 28326, T: 13291
_XXX_OO_O W: 58392, L: 28326, T: 13291
_XXXOOOXO W: 58392, L: 28326, T: 13291
OX_____OX W: 58392, L: 28326, T: 13291
OX_O_X_OX W: 58392, L: 28326, T: 13291
OXOO_XXOX W: 58392, L: 28326, T: 13291
_OXOXX_O_ W: 58392, L: 28326, T: 13291
OXXO__X_O W: 58392, L: 28326, T: 13291
