__O___XX_ W: 28327, L: 58392, T: 13291
O_O__XXX_ W: 28327, L: 58392, T: 13291
_O__X___X W: 28327, L: 58392, T: 13291
_OX_X_O_X W: 28327, L: 58392, T: 13291
____O_XX_ W: 28327, L: 58392, T: 13291
_O__OXXX_ W: 28327, L: 58392, T: 13291
OO_XOXXX_ W: 28327, L: 58392, T: 13291
O__XX_X_O W: 28327, L: 58392, T: 13291
O_OXX_XXO W: 28327, L: 58392, T: 13291
_O_X___X_ W: 28327, L: 58392, T: 13291
_O_X__OXX W: 28327, L: 58392, T: 13291
_OOXX_OXX W: 28327, L: 58392, T: 13291
X_____OX_ W: 28327, L: 58392, T: 13291
X__X_OOX_ W: 28327, L: 58392, T: 13291
XX_X_OOXO W: 28327, L: 58392, T: 13291
__O_XX___ W: 28327, L: 58392, T: 13291
__OOXX_X_ W: 28327, L: 58392, T: 13291
X_OOXX_XO W: 28327, L: 58392, T: 13291
_X_X___O_ W: 28327, L: 58392, T: 13291
_XOXX__O_ W: 28327, L: 58392, T: 13291
_XOXXOXO_ W: 28327, L: 58392, T: 13291
_X___X__O W: 28327, L: 58392, T: 13291
XXO__X__O W: 28327, L: 58392, T: 13291
XXO__XOXO W: 28327, L: 58392, T: 13291
__O__XX__ W: 28327, L: 58392, T: 13291
__OOXXX__ W: 28327, L: 58392, T: 13291
__OOXXXXO W: 28327, L: 58392, T: 13291
__X___X_O W: 28327, L: 58392, T: 13291
__XX_OX_O W: 28327, L: 58392, T: 13291
XXO_O__X_ W: 28327, L: 58392, T: 13291
__O__X_X_ W: 28327, L: 58392, T: 13291
O_OX_X_X_ W: 28327, L: 58392, T: 13291
OXOX_X_XO W: 28327, L: 58392, T: 13291
__O____XX W: 28327, L: 58392, T: 13291
_OO_X__XX W: 28327, L: 58392, T: 13291
_XX__O___ W: 28327, L: 58392, T: 13291
OXXX_OO_X W: 28327, L: 58392, T: 13291
_XO_X____ W: 28327, L: 58392, T: 13291
_XO_XXO__ W: 28327, L: 58392, T: 13291
OXO_XXO_X W: 28327, L: 58392, T: 13291
__X_XO___ W: 28327, L: 58392, T: 13291
O_X_XO_X_ W: 28327, L: 58392, T: 13291
__XX_O___ W: 28327, L: 58392, T: 13291
__XX_OOX_ W: 28327, L: 58392, T: 13291
O_XXXOOX_ W: 28327, L: 58392, T: 13291
O_X_____X W: 28327, L: 58392, T: 13291
O_XX_O__X W: 28327, L: 58392, T: 13291
O_XX_OOXX W: 28327, L: 58392, T: 13291
X___OX___ W: 28327, L: 58392, T: 13291
X__XOXO__ W: 28327, L: 58392, T: 13291
X__XOXOOX W: 28327, L: 58392, T: 13291
___XO__X_ W: 28327, L: 58392, T: 13291
___XOX_XO W: 28327, L: 58392, T: 13291
XO_XOX_XO W: 28327, L: 58392, T: 13291
X__X____O W: 28327, L: 58392, T: 13291
X__X_O_XO W: 28327, L: 58392, T: 13291
OX_X__OX_ W: 28327, L: 58392, T: 13291
____XOX__ W: 28327, L: 58392, T: 13291
XO__XOX__ W: 28327, L: 58392, T: 13291
X__OX____ W: 28327, L: 58392, T: 13291
XO_OX_X__ W: 28327, L: 58392, T: 13291
XOOOXXX__ W: 28327, L: 58392, T: 13291
___X_X__O W: 28327, L: 58392, T: 13291
__XX_X_OO W: 28327, L: 58392, T: 13291
X_XOXO___ W: 28327, L: 58392, T: 13291
O__X__X__ W: 28327, L: 58392, T: 13291
OX_X__X_O W: 28327, L: 58392, T: 13291
OX_X_OXXO W: 28327, L: 58392, T: 13291
XX_____O_ W: 28327, L: 58392, T: 13291
XX_OX__O_ W: 28327, L: 58392, T: 13291
_X__XO_OX W: 28327, L: 58392, T: 13291
_XO_XOXOX W: 28327, L: 58392, T: 13291
O___XX___ W: 28327, L: 58392, T: 13291
OX__XX__O W: 28327, L: 58392, T: 13291
__X__O_X_ W: 28327, L: 58392, T: 13291
OXX__O_X_ W: 28327, L: 58392, T: 13291
OXX__OOXX W: 28327, L: 58392, T: 13291
______OXX W: 28327, L: 58392, T: 13291
__X__OOXX W: 28327, L: 58392, T: 13291
X_XO_OOXX W: 28327, L: 58392, T: 13291
O_OX__XX_ W: 28327, L: 58392, T: 13291
OXOXO_XX_ W: 28327, L: 58392, T: 13291
_O____XX_ W: 28327, L: 58392, T: 13291
_O_X__XXO W: 28327, L: 58392, T: 13291
