O_X____X_ W: 5101, L: 22321, T: 2587
OXX__O_X_ W: 5101, L: 22321, T: 2587
X_OO__X_X W: 5101, L: 22321, T: 2587
XXOO_OX_X W: 5101, L: 22321, T: 2587
_____X_XO W: 5101, L: 22321, T: 2587
__O_XX_XO W: 5101, L: 22321, T: 2587
O_O_XXXXO W: 5101, L: 22321, T: 2587
____XX__O W: 5101, L: 22321, T: 2587
____XXXOO W: 5101, L: 22321, T: 2587
____X__OX W: 5101, L: 22321, T: 2587
__XOX__OX W: 5101, L: 22321, T: 2587
_XX____O_ W: 5101, L: 22321, T: 2587
XO_X_X_O_ W: 5101, L: 22321, T: 2587
XOX___O_X W: 5101, L: 22321, T: 2587
_O__X__X_ W: 5101, L: 22321, T: 2587
_OX_X__XO W: 5101, L: 22321, T: 2587
_X___O_X_ W: 5101, L: 22321, T: 2587
X______OX W: 5101, L: 22321, T: 2587
X__OX____ W: 5101, L: 22321, T: 2587
XXOOX____ W: 5101, L: 22321, T: 2587
____X_O_X W: 5101, L: 22321, T: 2587
__X_X_OOX W: 5101, L: 22321, T: 2587
_O__X_XXO W: 5101, L: 22321, T: 2587
_OOXX_XXO W: 5101, L: 22321, T: 2587
___O_XX__ W: 5101, L: 22321, T: 2587
O__O_XXX_ W: 5101, L: 22321, T: 2587
OX______X W: 5101, L: 22321, T: 2587
OX__O__XX W: 5101, L: 22321, T: 2587
X_XO___XO W: 5101, L: 22321, T: 2587
XX_XO__O_ W: 5101, L: 22321, T: 2587
_X___XO__ W: 5101, L: 22321, T: 2587
OX__XXO__ W: 5101, L: 22321, T: 2587
OXO_XXO_X W: 5101, L: 22321, T: 2587
O__X___X_ W: 5101, L: 22321, T: 2587
OX_X___XO W: 5101, L: 22321, T: 2587
OXXX_O_XO W: 5101, L: 22321, T: 2587
O_XXX_O__ W: 5101, L: 22321, T: 2587
X_XX_O__O W: 5101, L: 22321, T: 2587
XOXXXO__O W: 5101, L: 22321, T: 2587
OXO___XX_ W: 5101, L: 22321, T: 2587
X_____X_O W: 5101, L: 22321, T: 2587
X___X_XOO W: 5101, L: 22321, T: 2587
X__OXXXOO W: 5101, L: 22321, T: 2587
__OXX_XO_ W: 5101, L: 22321, T: 2587
_XX_OO__X W: 5101, L: 22321, T: 2587
_X__O_X__ W: 5101, L: 22321, T: 2587
XX__O_X_O W: 5101, L: 22321, T: 2587
OOXXX_O_X W: 5101, L: 22321, T: 2587
__O___X_X W: 5101, L: 22321, T: 2587
O_O__XX_X W: 5101, L: 22321, T: 2587
____XX_O_ W: 5101, L: 22321, T: 2587
_XO_____X W: 5101, L: 22321, T: 2587
OXO___X_X W: 5101, L: 22321, T: 2587
OXOX__XOX W: 5101, L: 22321, T: 2587
OX_O_X__X W: 5101, L: 22321, T: 2587
OXOOXX__X W: 5101, L: 22321, T: 2587
___XO___X W: 5101, L: 22321, T: 2587
_O_XO_X_X W: 5101, L: 22321, T: 2587
OOXXO_X_X W: 5101, L: 22321, T: 2587
__XXO____ W: 5101, L: 22321, T: 2587
__XXOXO__ W: 5101, L: 22321, T: 2587
OXXXOXO__ W: 5101, L: 22321, T: 2587
__XO___X_ W: 5101, L: 22321, T: 2587
XOXOOX_X_ W: 5101, L: 22321, T: 2587
____OXXOX W: 5101, L: 22321, T: 2587
OX__OXXOX W: 5101, L: 22321, T: 2587
X_O_____X W: 5101, L: 22321, T: 2587
XOOX____X W: 5101, L: 22321, T: 2587
OX___X___ W: 5101, L: 22321, T: 2587
OXX__XXOO W: 5101, L: 22321, T: 2587
__X___X_O W: 5101, L: 22321, T: 2587
_XO__X___ W: 5101, L: 22321, T: 2587
_XOXOX___ W: 5101, L: 22321, T: 2587
_O____X_X W: 5101, L: 22321, T: 2587
OOX___X_X W: 5101, L: 22321, T: 2587
O__X__X__ W: 5101, L: 22321, T: 2587
OO_X_XX__ W: 5101, L: 22321, T: 2587
_O_X____X W: 5101, L: 22321, T: 2587
_O_XX_O_X W: 5101, L: 22321, T: 2587
XO___OX_X W: 5101, L: 22321, T: 2587
O_OXOXX_X W: 5101, L: 22321, T: 2587
OOXX_X___ W: 5101, L: 22321, T: 2587
OOXXOXX__ W: 5101, L: 22321, T: 2587
_X__OX___ W: 5101, L: 22321, T: 2587
_X__OXX_O W: 5101, L: 22321, T: 2587
XO___XOX_ W: 5101, L: 22321, T: 2587
XOXO_XOX_ W: 5101, L: 22321, T: 2587
X_XOXO___ W: 5101, L: 22321, T: 2587
__XX__O__ W: 5101, L: 22321, T: 2587
X_XXO_O__ W: 5101, L: 22321, T: 2587
XOXXO_OX_ W: 5101, L: 22321, T: 2587
O_____XX_ W: 5101, L: 22321, T: 2587
OOX___XX_ W: 5101, L: 22321, T: 2587
OOXO_XXX_ W: 5101, L: 22321, T: 2587
O_X___XOX W: 5101, L: 22321, T: 2587
OXXO__XOX W: 5101, L: 22321, T: 2587
XOXXOXO__ W: 5101, L: 22321, T: 2587
_O___X__X W: 5101, L: 22321, T: 2587
XOO__X__X W: 5101, L: 22321, T: 2587
XOOO_XX_X W: 5101, L: 22321, T: 2587
OX__O_XX_ W: 5101, L: 22321, T: 2587
OXX_OOXX_ W: 5101, L: 22321, T: 2587
____X__XO W: 5101, L: 22321, T: 2587
O___X__X_ W: 5101, L: 22321, T: 2587
_X_OX____ W: 5101, L: 22321, T: 2587
OXXOX____ W: 5101, L: 22321, T: 2587
OXXOXX__O W: 5101, L: 22321, T: 2587
_XO___X__ W: 5101, L: 22321, T: 2587
XXO___X_O W: 5101, L: 22321, T: 2587
XXO__XXOO W: 5101, L: 22321, T: 2587
_X_XO__XO W: 5101, L: 22321, T: 2587
_O__OX_XX W: 5101, L: 22321, T: 2587
___XO__X_ W: 5101, L: 22321, T: 2587
__XXO_OX_ W: 5101, L: 22321, T: 2587
O_XXOXOX_ W: 5101, L: 22321, T: 2587
XO_OXX___ W: 5101, L: 22321, T: 2587
XOXOXXO__ W: 5101, L: 22321, T: 2587
X_XO_XO__ W: 5101, L: 22321, T: 2587
X___O___X W: 5101, L: 22321, T: 2587
X___OX_OX W: 5101, L: 22321, T: 2587
XO_____X_ W: 5101, L: 22321, T: 2587
XOOX___X_ W: 5101, L: 22321, T: 2587
XOOXX__XO W: 5101, L: 22321, T: 2587
_OX_XX_O_ W: 5101, L: 22321, T: 2587
XOX_XX_OO W: 5101, L: 22321, T: 2587
OX_XO_X__ W: 5101, L: 22321, T: 2587
OXXXOOX__ W: 5101, L: 22321, T: 2587
XX___OX_O W: 5101, L: 22321, T: 2587
___XXO___ W: 5101, L: 22321, T: 2587
X__XXO__O W: 5101, L: 22321, T: 2587
X_XXXO_OO W: 5101, L: 22321, T: 2587
__O_XX___ W: 5101, L: 22321, T: 2587
_X_O__X__ W: 5101, L: 22321, T: 2587
OXXO__X__ W: 5101, L: 22321, T: 2587
OXXOO_XX_ W: 5101, L: 22321, T: 2587
X_XOX_O__ W: 5101, L: 22321, T: 2587
__X_O_X__ W: 5101, L: 22321, T: 2587
_XX_OOX__ W: 5101, L: 22321, T: 2587
OXXXO_OX_ W: 5101, L: 22321, T: 2587
_____OXX_ W: 5101, L: 22321, T: 2587
___O___XX W: 5101, L: 22321, T: 2587
OX_O___XX W: 5101, L: 22321, T: 2587
OXXOO__XX W: 5101, L: 22321, T: 2587
_XOO___XX W: 5101, L: 22321, T: 2587
X___X___O W: 5101, L: 22321, T: 2587
X_O_X__XO W: 5101, L: 22321, T: 2587
XX___OO_X W: 5101, L: 22321, T: 2587
___O__XX_ W: 5101, L: 22321, T: 2587
_O_OX_XX_ W: 5101, L: 22321, T: 2587
OOXX___X_ W: 5101, L: 22321, T: 2587
OOXX__XXO W: 5101, L: 22321, T: 2587
X__OOXOXX W: 5101, L: 22321, T: 2587
O_XX_O__X W: 5101, L: 22321, T: 2587
OOXXXO__X W: 5101, L: 22321, T: 2587
OO___XX_X W: 5101, L: 22321, T: 2587
___X_OXXO W: 5101, L: 22321, T: 2587
O__XXOXXO W: 5101, L: 22321, T: 2587
XX_OX___O W: 5101, L: 22321, T: 2587
OXXXX_OO_ W: 5101, L: 22321, T: 2587
_X__X__O_ W: 5101, L: 22321, T: 2587
