X__OOXXXO W: 22321, L: 5101, T: 2587
X_X_O__OX W: 22321, L: 5101, T: 2587
O_OX_XX__ W: 22321, L: 5101, T: 2587
O_OX_XXXO W: 22321, L: 5101, T: 2587
X_O__X___ W: 22321, L: 5101, T: 2587
XXO__X_O_ W: 22321, L: 5101, T: 2587
XXOX_X_OO W: 22321, L: 5101, T: 2587
__XO_X___ W: 22321, L: 5101, T: 2587
__XO_XOX_ W: 22321, L: 5101, T: 2587
_OX__X___ W: 22321, L: 5101, T: 2587
_OXX_XO__ W: 22321, L: 5101, T: 2587
____OX_X_ W: 22321, L: 5101, T: 2587
O__XOX_X_ W: 22321, L: 5101, T: 2587
O_OXOXXX_ W: 22321, L: 5101, T: 2587
X____X__O W: 22321, L: 5101, T: 2587
XO_X_X__O W: 22321, L: 5101, T: 2587
XOXX_XO_O W: 22321, L: 5101, T: 2587
O__O_XX_X W: 22321, L: 5101, T: 2587
_XO___X__ W: 22321, L: 5101, T: 2587
_XOO_XX__ W: 22321, L: 5101, T: 2587
_XOOOXXX_ W: 22321, L: 5101, T: 2587
__X___O_X W: 22321, L: 5101, T: 2587
_OX___OXX W: 22321, L: 5101, T: 2587
OOX_X_OXX W: 22321, L: 5101, T: 2587
OX_OXOX_X W: 22321, L: 5101, T: 2587
__OX_X_XO W: 22321, L: 5101, T: 2587
X_OXOX_XO W: 22321, L: 5101, T: 2587
O_X__X___ W: 22321, L: 5101, T: 2587
___O_XOXX W: 22321, L: 5101, T: 2587
_X_OOXOXX W: 22321, L: 5101, T: 2587
_O_XX____ W: 22321, L: 5101, T: 2587
XO_XX___O W: 22321, L: 5101, T: 2587
__X__OX__ W: 22321, L: 5101, T: 2587
_OX__OX_X W: 22321, L: 5101, T: 2587
X_X_O____ W: 22321, L: 5101, T: 2587
X_X_O_OX_ W: 22321, L: 5101, T: 2587
X_XXO_OXO W: 22321, L: 5101, T: 2587
O__O_X_XX W: 22321, L: 5101, T: 2587
__O_XOXX_ W: 22321, L: 5101, T: 2587
__O__XXXO W: 22321, L: 5101, T: 2587
_XO_OXXXO W: 22321, L: 5101, T: 2587
XOXXO_O_X W: 22321, L: 5101, T: 2587
X___X__O_ W: 22321, L: 5101, T: 2587
XOX_X__O_ W: 22321, L: 5101, T: 2587
OX___XOX_ W: 22321, L: 5101, T: 2587
OXOX_XOX_ W: 22321, L: 5101, T: 2587
X_X___O__ W: 22321, L: 5101, T: 2587
XO_X__O_X W: 22321, L: 5101, T: 2587
XOOX_XO_X W: 22321, L: 5101, T: 2587
XOXX_XOO_ W: 22321, L: 5101, T: 2587
__OX___X_ W: 22321, L: 5101, T: 2587
__OXXO_X_ W: 22321, L: 5101, T: 2587
____XXO__ W: 22321, L: 5101, T: 2587
OX__XXO__ W: 22321, L: 5101, T: 2587
XOO_XX___ W: 22321, L: 5101, T: 2587
X_OO_X__X W: 22321, L: 5101, T: 2587
_X_X____O W: 22321, L: 5101, T: 2587
_XOXX___O W: 22321, L: 5101, T: 2587
_XOXX_XOO W: 22321, L: 5101, T: 2587
X_O_____X W: 22321, L: 5101, T: 2587
X_O_OX__X W: 22321, L: 5101, T: 2587
X_OXOX_OX W: 22321, L: 5101, T: 2587
XO__O__XX W: 22321, L: 5101, T: 2587
OXX__X_O_ W: 22321, L: 5101, T: 2587
X_X____O_ W: 22321, L: 5101, T: 2587
X_XX__OO_ W: 22321, L: 5101, T: 2587
___XX___O W: 22321, L: 5101, T: 2587
__OXX_X_O W: 22321, L: 5101, T: 2587
____XO__X W: 22321, L: 5101, T: 2587
_X_OXO__X W: 22321, L: 5101, T: 2587
_O_X____X W: 22321, L: 5101, T: 2587
_OOX___XX W: 22321, L: 5101, T: 2587
XOXO___X_ W: 22321, L: 5101, T: 2587
XOXO_OXX_ W: 22321, L: 5101, T: 2587
X__X__OOX W: 22321, L: 5101, T: 2587
XOXX__OOX W: 22321, L: 5101, T: 2587
__XO____X W: 22321, L: 5101, T: 2587
__XOO_X_X W: 22321, L: 5101, T: 2587
X_XOO_XOX W: 22321, L: 5101, T: 2587
____XO_X_ W: 22321, L: 5101, T: 2587
_OX_XO_X_ W: 22321, L: 5101, T: 2587
XOXOXO_X_ W: 22321, L: 5101, T: 2587
_OO_X_XX_ W: 22321, L: 5101, T: 2587
_OXXXO___ W: 22321, L: 5101, T: 2587
_OX_XX_O_ W: 22321, L: 5101, T: 2587
_O_____XX W: 22321, L: 5101, T: 2587
XO____OXX W: 22321, L: 5101, T: 2587
XOO__XOXX W: 22321, L: 5101, T: 2587
_XX_____O W: 22321, L: 5101, T: 2587
OXX__X__O W: 22321, L: 5101, T: 2587
OXXO_X_XO W: 22321, L: 5101, T: 2587
OX______X W: 22321, L: 5101, T: 2587
OX____OXX W: 22321, L: 5101, T: 2587
OXOX__OXX W: 22321, L: 5101, T: 2587
X_XO_X_O_ W: 22321, L: 5101, T: 2587
OOXX___X_ W: 22321, L: 5101, T: 2587
OOXX_XOX_ W: 22321, L: 5101, T: 2587
X____X_O_ W: 22321, L: 5101, T: 2587
XXOOXX_O_ W: 22321, L: 5101, T: 2587
_O_XOX_X_ W: 22321, L: 5101, T: 2587
OOXXOX_X_ W: 22321, L: 5101, T: 2587
X__X_O___ W: 22321, L: 5101, T: 2587
X_OXXOOX_ W: 22321, L: 5101, T: 2587
_X_XO_OX_ W: 22321, L: 5101, T: 2587
_X____X_O W: 22321, L: 5101, T: 2587
OXOXX_X_O W: 22321, L: 5101, T: 2587
OXO___X_X W: 22321, L: 5101, T: 2587
___X__OX_ W: 22321, L: 5101, T: 2587
___X_OOXX W: 22321, L: 5101, T: 2587
X_X__OOX_ W: 22321, L: 5101, T: 2587
X_X_XOOXO W: 22321, L: 5101, T: 2587
__O___X_X W: 22321, L: 5101, T: 2587
X_OO__X_X W: 22321, L: 5101, T: 2587
XXOO_OX_X W: 22321, L: 5101, T: 2587
_O___XX__ W: 22321, L: 5101, T: 2587
OOX__XX__ W: 22321, L: 5101, T: 2587
OOXX_XX_O W: 22321, L: 5101, T: 2587
___XO___X W: 22321, L: 5101, T: 2587
X__XO__OX W: 22321, L: 5101, T: 2587
O__XO__XX W: 22321, L: 5101, T: 2587
O_XXO_OXX W: 22321, L: 5101, T: 2587
X__X___O_ W: 22321, L: 5101, T: 2587
X_XXO__O_ W: 22321, L: 5101, T: 2587
__OXOX__X W: 22321, L: 5101, T: 2587
__OX_X___ W: 22321, L: 5101, T: 2587
___X_O__X W: 22321, L: 5101, T: 2587
X_OX_O__X W: 22321, L: 5101, T: 2587
__X_OOX_X W: 22321, L: 5101, T: 2587
OXX_OOX_X W: 22321, L: 5101, T: 2587
__X_OXOX_ W: 22321, L: 5101, T: 2587
OXX___O_X W: 22321, L: 5101, T: 2587
X_O___X__ W: 22321, L: 5101, T: 2587
__O_XOX_X W: 22321, L: 5101, T: 2587
_XXX__O_O W: 22321, L: 5101, T: 2587
_XXX_OOXO W: 22321, L: 5101, T: 2587
OX_O_XXOX W: 22321, L: 5101, T: 2587
OX____X__ W: 22321, L: 5101, T: 2587
OXX___X_O W: 22321, L: 5101, T: 2587
OXXO_XX_O W: 22321, L: 5101, T: 2587
__OXXOX__ W: 22321, L: 5101, T: 2587
X__XX__OO W: 22321, L: 5101, T: 2587
_OX__X_XO W: 22321, L: 5101, T: 2587
XX_O_O__X W: 22321, L: 5101, T: 2587
X___X_O__ W: 22321, L: 5101, T: 2587
X___XXO_O W: 22321, L: 5101, T: 2587
XXO_XXO_O W: 22321, L: 5101, T: 2587
X___XO___ W: 22321, L: 5101, T: 2587
X_X_XOO__ W: 22321, L: 5101, T: 2587
